Text,Level
Student will able to solve the business problems algebraically. ,C3
Student will understand how to work in teams over business problems through algebraic tools.,C2
Students will learn how to use ICT tools in written and oral communication,C2
Students will be able to learn applications of ICT tools in business settings,C2
Students will able to learn how to analyze ethical values by learning the lesson from teachings of Ethics.,C2
Students will be able learn how to do ethical reasoning for making effective decisions,C2
Student will learn the importance of team work and how to work as a team member,C2
Students will learn how to write a good  unified and coherent paragraph,C2
Students will be able to comprehend English reading for effective communication,C2
Students will understand how to deliver an oral presentation,C2
Students will be learn how to read and write critically,C2
Students will be able to understand and respect the behavior of others. ,C2
Student will be able to understand differences of personality  perception and motives.  ,C2
Student will learn the importance of research applications in understanding human behavior. ,C2
Students will learn to reflect on various theories of human behavior.,C2
Students will be able to understand key concepts and theories of motivation  learning  perception  emotions  memory & consciousness.   ,C2
Students will be able to interpret results of business mathematical problems in written. ,C2
Students will be able to apply system of linear equations to solve business problems.  ,C3
Students will be able to use mathematical functions to solve business problems.,C3
Students will be able to recognize ethical implications in financial accounting. ,C2
Student will be analyzing impact of various accounting policies. ,C4
Students will be able to apply accounting of Assets  equity and liabilities and prepare financial statements.,C3
Students will be to distinguish international accounting practices   IFRS and US GAAP,C2
Students will be able to write and present project report.,C3
Students will be able to calculate various financial indicators of companies by using Bloomberg Terminal ,C2
Students will able to critically evaluate assumptions and limitations of various financial tools.,C4
 Students will be able to analyze the various financial situation involving different financial securities.,C4
Students will be able to determine whether the statements of type 'A follows from B' is true or not  using a variety of methods.,C2
Students will be able to communicate fundamental mathematical concepts/analyses of real-world problems to the peers and faculty  orally.,C2
Students will be able to communicate fundamental mathematical concepts/analyses of real-world problems in written.,C2
Students will be able to distinguish a coherent argument from a fallacious one  both in mathematical reasoning and in everyday life,C2
Students will learn how to analyze ethical values by learning the lesson from teachings of Islam.,C2
Students will be able learn how to do ethical reasoning for making effective decisions,C2
Student will learn the importance of team work and how to work as a team member.,C2
Students will be able to learn how to present basic economic concepts ,C2
Students will be able to understand how to collect and analyze economic data at basic level.,C2
Student will be able to understand basic microeconomic concepts.,C2
Students will be able to apply microeconomics concepts to the basic problems. ,C3
Students will learn how history shapes societies and their ethical perspectives,C2
Student will learn the importance of teamwork and how to work as a team member ,C2
Students should be able to understand legal and ethical values in business.,C2
Students should be able to draft basic legal documents.,C2
Students will be able to critically analyze legal issues in business formation and execution,C4
Students will be able to work in teams,C2
Students should be able to understand business laws  company laws  and negotiable instrument act and their implications in business.,C2
Students will be able to present/demonstrate the meaning of international business  globalization and the main arguments/issue in the debate over the impact of globalization.,C2
Critically analyze the international business issues.,C2
Assess the influence of cultural and environmental differences on international business practices and national economic development. ,C2
Apply international business discipline knowledge (e.g.  cultural differences  environmental differences  foreign market entry strategies  international trade theories) to address business challenges. ,C3
Graduates will be able to apply academic integrity in human research. ,C3
Graduates will be able to write a good/thesis empirical research article for SSCI Journals.,C3
Graduates will be able to orally present their final research papers.,C2
Graduates will be able to enter  analyze  and resport/interpret the results of advanced statistical techniques using tools such as SPSS  AMOS  Origin Pro 8.50  and Draw.io for Windows. ,C3
Graduates will be able develop the literature review for their research project/paper,C3
Graduates will be able demonstrate analytical skill in his/her area of research,C3
Define information security and outline its major components,C1
Identify the major types of threats to information security and the associated attacks,C2
Develop strategies to protect organization information assets from common attacks,C3
Understand how security policies  standards and practices are developed,C2
Understand the role of management in enforcing security policies  standards and practices,C2
Identify the major techniques  approaches and tools used to discover network and system vulnerabilities,C2
Apply foot printing  scanning  enumeration and similar techniques to discover network and system vulnerabilities,C3
Understand firewalls and packet filtering,C2
Understand the role of cryptography in information security,C2
Describe the major types of cryptographic algorithms and typical applications,C2
Write code to encrypt and decrypt information using some of the standard algorithms,C2
Develop implementations for some of the common cryptographic algorithms,C3
Understand authentication protocols and processes,C2
Understand how digital signatures are performed and the role of digital certificates,C2
Recognize the need for Risk management,C2
Describe the major components of Risk management,C2
Understand ethical and legal issues,C2
To demonstrate the knowledge of advanced derivative and integration and integrals,C2
To demonstrate the applications of parametric curves and arc length.,C2
To apply the knowledge of vectors and their applications in aeronautical engineering and computer science.,C3
To evaluate the continuity of functions  partial derivatives.,C2
To learn the basic knowledge of analytic geometry and their usage. Graphing of linear function,C2
To learn and apply the applications of limits in graphing., C2
To learn and apply the knowledge of rates of change or differentiation in real life applications to optimize the solution and graphing of non-linear functions analytically.,C3
To evaluate the elementary level integrals,C2
Demonstrate an understanding of fundamental concept of mathematical function  its properties and classes,C2
Apply properties of functions and mathematical techniques to solve real world problems,C3
Demonstrate an understanding of basic trigonometry,C2
Understand the software development process in relation to the fundamental principles and methodologies in software engineering and computer science  including the analysis  design  implementation and testing of contemporary software systems. ,C2
Apply the software process and methods to real-life software development.,C3
An ability to function effectively on teams to accomplish a common goal,C2
An understanding of professional  ethical  legal  security and social issues and responsibilities,C2
An ability to communicate effectively with a range of audiences,C2
Apply the pumping lemma for regular languages to determine if a language is regular ,C3
Convert between grammars and push-down automata for context-free ,C3
Determine if a language is regular or context-free ,C2
Demonstrate that a grammar is ambiguous,C2
Translate a context-free grammar from one form to another ,C3
Produce simple programs for a Turing Machine ,C3
Describe languages mathematically,C2
To understand theoretical and algorithmic design of computer vision algorithms.,C2
To apply acquired computer vision knowledge to propose effective solutions to existing problems in real world problems (such as medical imaging  road safety and autonomous driving etc).,C3
To analyze current state-of-the-art computer vision algorithms and trends to target potential research progression.,C4
To understand basic concepts and process of Data Science.,C2
To understand programming constructs  essential for Data Science,C2
Obtaining data from multiple sources and analyzing data using preprocessing techniques,C3
Understanding fundamentals of statistical and probability,C2
To choose effective solution to design and develop real time applications using ML approaches,C3
Solving case studies  designing real time systems and participating in global competitions (Kaggle),C3
Students will be able to form the differential equations in the form of differential equations from the real world problems of Science and Engineering’s.,C3
Students will be able to solve differential equations through various methods.,C3
Students will learn to analyze the solutions of the differential equations.,C4
Understand core principles of image processing  analysis and concepts (representation  filtering  feature extraction  morphological image processing etc),C2
Capability to apply their knowledge of digital image processing to propose effective solutions to existing problems.,C3
Apply their acquired knowledge to facilitate basic computer vision related tasks (such as segmentation  object detection and human detection etc),C3
To understand and implement various techniques/methods for simplification of logic circuits/expressions/truth tables.,C2
Analyze  understand and design combinational circuits and their applications.,C4
Analyze  understand and design sequential circuits and their applications.,C4
Demonstrate the knowledge of linear and non-linear data structures such as array  list  queue  stack  trees and graphs.,C2
Implement algorithms for the efficient data structures and sorting of data.,C3
Apply suitable data structures in different scenarios.,C3
Understand basic functions of computer hardware and software components including operating system functions,C2
Identify and describe the components of a computer system,C2
Explain the role of system software and application software within computers,C2
Describe various storage media  including appropriate use and management,C2
Explain the difference and relationship between data and information,C2
Identify the usage of emerging hardware and software technologies and how they are being used to solve problems and create efficiency,C2
To understand netiquettes and security and privacy issues of being online ,C2
Students would be able to understand the dogmas of Islam  and concepts and messages behind all the pillars of Islam and use them in different situations.,C2
Students would comprehend the best practical pattern of life of Holy   Prophet     Muhammad (S.A.W) in all the spheres / walks of life in order to communicate the message of the messenger effectively,C2
Students will be able to understand the guidance of Islam with ref to ethical  legal  professional and social matters ,C2
Discuss programming fundamentals and basic terminology used in computer programming,C2
Analyze  design  and solve real world problems in C ++,C3
Apply programming constructs to solve programming problems.,C3
Demonstrate knowledge of the fundamentals of software verification and validation.,C2
Apply modern software verification and validation processes in relation to software development and project management,C3
Use fundamental techniques to implement techniques to extrapolate fundamental techniques in the framework of real world scenarios,C3
Understand basics of project management and software project management ,C2
Applying scheduling techniques to come up with project schedules,C3
Applying cost estimation techniques to come up with project budget ,C3
Understand risk management techniques to come up with plans for graceful handling of risk occurrence,C2
Understand quality management techniques to optimize quality of work ,C2
To understand the logic of mathematical structures ,C2
To apply logicin the proofs of the propositions.,C3
Students will be able to demonstrate ability to identify and analyze ethical issues in organizations. ,C2
Students will be able to communicate and present effectively by understanding the contextual difference in behavior,C3
Students will be able to demonstrate the ability to critically analyze and evaluate behavioral issues in businesses.,C2
Students will able to take part in team based activities.,C2
Students will understand basic Behavioral knowledge to address business challenges.,C2
Understand the fundamentals of object-oriented method for analysis and design,C2
To develop conceptual models such as use case diagram  domain model  sequence diagram  activity diagram  etc. for various scenarios and application  and to evaluate alternate solutions.,C3
To use UML for modeling and notation,C3
Apply the concepts of architectural design for deploying the code for software.,C3
To describe basic concepts of Operating System,C2
To understand fundamental operating system abstractions such as processes  threads  files  semaphores  IPC abstractions  shared memory regions  etc.,C2
To demonstrate concept of operating system through project deliverable,C2
To identify basic shell scripting commands,C2
To apply shell scripting in LINUX,C3
Understand the emergent trends in the software engineering,C2
 Ability to select appropriate software development approaches according to particular situation,C2
Awareness about dependability and security issues,C2
Ability to carry out efficient software project/quality management,C3
Ability to validate designs and adjust the specifications or design as necessary,C3
Demonstrate an understanding of agile development philosophies and methodologies.,C2
Demonstrate applied knowledge of agile tools and techniques.,C2
Understand advanced and emerging topics in the domain of agile software development and management,C2
Apply agile software development and transformational agile concepts by working both individually and in teams.,C3
To learn the basic knowledge of fundamentals of Physics.,C2
To apply the applications concepts of Physics in the real world.,C3
Explain the fundamental concepts of data warehousing  data mining techniques and online analytical processing (OLAP) such as mining frequent patterns  classification  clustering  data warehouse schemas and basic OLAP operation,C2
Identify the key processes of data mining  data warehousing and knowledge discovery process,C2
Apply data mining techniques to solve problems in a mathematical way.,C3
Identify the strengths and weaknesses of different data mining algorithms,C2
Use different tools of data warehousing and data mining.,C3
Design small projects of data mining or data warehousing.,C3
Understand the role of the IS auditor and the IS audit function,C2
Investigate and controls of systems  resources and data in an information systems environment,C3
Assess the design  placement  and quality of controls,C4
Understand some of the basic theory underlying computer security policies  models  and problems,C2
Students will identify how history shapes society and their ethical perspective as well social issue,C2
Students will know the history of Pakistan and track political and constitutional development.,C2
Students will identify the facts of history and its political setup of Pakistan.,C2
Understand the basic concept of Probability and Statistics,C2
Application of Probability and Statistics for understanding and analysis of different science and engineering problems,C3
Understanding of basic usage of IT tools liker  MATLAB  Mathematica in Probability and Statistics,C2
To explain software quality engineering concepts that include quality  software quality  software development life cycle  quality factors  processes  techniques  frameworks  models and skills for performing different quality engineering tasks. ,C2
To implement the software quality factors and processes in software development life cycle and apply suitable testing techniques  models and frameworks for ensuring the software quality.,C3
To evaluate software system/application/product/low fidelity prototype/high fidelity prototype by considering different techniques for confirming software quality in laboratory or expert reviews.,C4
To demonstrate web engineering fundamental concepts especially PHP and Javascripting languages  MySQL database and Joomla content management system (CMS). ,C2
To develop web-based applications by using PHP language integrating with MySQL database and Joomla CMS.,C3
To implement the developed web based applications on sites.,C3
Demonstrate basic proficiency in computer  commonly used computer applications (C).,C1
Explain the fundamentals of operating systems  computer networks  and cyber ethics and be able to purchase a computer as per requirements (C).Will be able to use appropriate tool and deliver persuasive,C2
To use appropriate tools to a webpage using basic HTML,C2
Calculate power dissipation in Electrical circuits.,C2
Students will be able to read different types of reading material particularly their academic texts.,C3
Students will be able to participate in group discussion effectively and ethically. ,C2
Students will be able to write well organized and coherent paragraphs and Essays.,C3
To appreciate socio-Economic Structure of Pakistan.,C2
To analyze the impact the diminishing natural resources in the wake of geographical condition of Pakistan. ,C2
Perform fundamental calculus operations on single variate functions. ,C2
Apply fundamental concepts of analytical geometry to functions defined in Euclidean 2D spaces.,C3
The relationship between electrical charge  electrical field and electrical potential. Solve numerical problems involving topics covered.,C2
Students should be able to apply the principles of electricity and magnetism in a wide range of applications.,C3
Apply the knowledge of Linear Algebra to solve various engineering problems.,C3
Apply the concepts of ODE’s to analyze the characteristics of RLC circuits.,C3
Recognize basic concepts of Islam (Dogma  Pillars and Systems) and express their impact on Society.,C2
Present Islam as complete code of life and demonstrate understanding of Islamic Ethics w.r.t. the life of the Holy Prophet.,C2
 Analysis to analyze for steady state solution of AC & DC circuits.,C4
Simplify the AC & DC circuits by applying Network Theorems.,C3
Build logic of a program  make a flow chart to represent the solution of problem.,C3
Describe and manipulate various C/C++ constructs to write programs.,C3
Design and manipulate the solution of intermediate engineering problems using loops  arrays  functions  structures.,C4
To become proficient modern 2D and 3D CAD software.,C2
To design mechanical objects when provided with meaningful specifications.,C4
To apply Orthographic projection to create 2D projections from 3D model.,C3
Identify the complex number system  complex functions and integrals of complex functions.,C2
Express the concept of limit and differentiability of complex valued functions.,C2
Apply various transforms for solving problems in engineering sciences.,C3
To illustrate behavior of Inductors and Capacitors in DC and AC electric circuits and their applications.,C2
To analyze the responses (Transient  steady-state and Step response) of first and second order DC and AC electric circuits.,C4
Construct circuits and perform electrical measurements using modern engineering tools i.e. Multisim and Pspice.,C3
Analyze the functionality and applications of combinational and sequential logic circuits.,C4
Design simplified combinational digital logic circuits by interpreting given data. ,C3
Explain the basic concepts of Applied Linear Algebra.,C2
Apply the knowledge of Linear Algebra different engineering problems.,C3
Describe the Fundamentals of Electronic System/Circuit Design  Amplifiers  and Types of Amplifiers.,C2
Analyze different types of BJT and FET Amplifiers Circuits and Oscillators.,C4
Design Amplifier circuits and be able to evaluate gain and frequency responses.,C3
Application of Probability distributions for understanding of different science and engineering problems.,C2
Investigation of Engineering problems  Analysis and Interpretation of Experimental Data.,C3
Understanding of basic usage of Modern IT tools like Excel  MATLAB in Probability and Statistics.,C2
Explain the operation of electrical machines through the fundamental principles of Electromagnetic induction.,C2
Analyze the various parameters like equivalent circuit  induced voltage and torque and other parameters of three-phase synchronous machines using mathematical modeling.,C4
Apply the knowledge in lab environment working as a group to gain insight into functioning of Transformers  AC and DC machines.,C3
Classify and Interpret basic components of data communication.,C2
Apply concepts of computer networking to differentiate layers defined in OSI model.,C3
Classify numorous types of transmission media connection devices and multiple access techniques,C2
Design IP computer networks as per specification/Simulate computer networks and routing protocols.,C3
Students will be able to use Matlab skills to simulate complex  simulation scenarios,C3
Design combinational and sequential circuits based digital system using project requirements. ,C3
Implement combinational and sequential circuits on FPGA using Verilog HDL and Xilinx Vivado tool.,C3
Investigate and validate digital system’s specifications using Vivado Simulator.,C2
Students will understand organizational ethics and be aware of ethical dilemmas that organization face on day to day basis.,C2
Students will understand implications of group and team dynamics in managerial decision making procedures.,C2
Students will be demonstrate capability to communicate persuasively and effectively under different working circumstances.,C3
Students will be able to reflect upon their own beliefs  assumptions  and behaviors with respect to how individuals  groups  and organizations act in order to expand your options of approaches and increase your own learning and effectiveness.,C2
Apply the suitable wave propagation model for wireless communication and describe the parameters of fading channels.,C3
Understand the basics of cellular network planning and management of mobile telephony systems.,C2
To recognize the importance of scared spectrum and MIMO and beamforming techniques required for 5G Communication.,C2
To analyze various power distribution schemes and bus bar arrangements.,C4
To investigate requirements of proper illumination for a specified purpose.,C3
Sketch the one line and reactance diagrams of power system.,C3
Select short circuit KVA of circuit breakers under three phase faults.,C2
Examine the sequence components of power system under unsymmetrical faults.,C4
Identify with the policies  ethical and legal issues in business.,C2
Analyze modern and innovative ideas for sustainable development through the basic knowledge and understanding of entrepreneurship and entrepreneurial process.,C4
Explain the challenges in different organizational roles i.e leaders  managers  employees and analyze the importance of teamwork in successful business.,C3
Prepare business plan demonstrating the marketing  HR and financial aspects and needs of the new venture.,C3
Demonstrate the understanding of crystal structure  unit cell and crystallography.,C2
Solve the quantum mechanics problems e.g. quantum tunneling  Time dependent & Time independent Schrodinger’s equations  particle in a box  wave particle duality and related experiments etc.,C3
Survey the Impact of Nanotechnology in engineering science  environment and other fields of studies.,C4
Apply homogenous transform to localize objects multitude of frames.,C3
Synthesize manipulator structure described in DH notation.,C5
Able to identify hazards of industry to environment and humans. ,C2
Able to assess the risk of workplace based hazards through teamwork. ,C3
Evaluate the effect of human factors and ethics for safe and unsafe behavior in the working environment.,C4
To acquire the basic knowledge of protection system attributes and understand the concepts of various protection schemes.,C1
To analyze the behavior of various protection systems and ensure protection coordination.,C4
To solve and evaluate the protection schemes for a power system.,C4
Investigate doubly-excited machines for the production of reluctance and electromagnetic torques.,C4
Analysis and modelling of single-phase induction motor equivalent circuit during different operating conditions.,C4
Illustrate the working principle of single-phase synchronous motors.,C3
To use modern 2D and 3D CAD software such as: Autodesk  AutoCAD and Solid works.,C2
To design mechanical objects when provided with meaningful specifications,C3
To apply Orthographic projection to create 2D projections from 3D models to assemblies and learn how to annotate projections,C3
Explain techniques of integration and interpret conceptand expansion of Maclaurin and Taylor series.,C2
Multiple integrals and its application in vector field.,C3
Students will be able to explain PN junction  basic diode circuits like half & full wave rectifiers and clipper & clampers.,C2
Students will be able to examine the AC and DC analysis of BJT.,C4
Recognize basic concepts of Islam (Faith  Pillars and Systems) and express their impact on Society.,C1
Present Islam as complete code of life and demonstrate understanding of Islamic Ethics w.r.t. the life of the Holy Prophet,C2
To illustrate the basic circuit parameters and network topologies.,C3
To apply mathematical techniques i.e. network theorems to solve AC and DC electric circuits.,C3
Impart the basics of communication which will help them communicate more effectively and accurately.,C2
Explain the basic concepts of Applied Linear Algebra,C2
Apply the knowledge of Linear Algebra different engineering problems.,C3
Explain the complex number system  and Analytic functions.,C1
Analyze complex valued functions using the concept of integral transforms and the related inverse transforms and apply these transformations for engineering problems,C2
To use vector calculus and the fundamental laws of physics to describe the electromagnetic phenomena,C2
To analyze and solve problems in electrostatic  magneto -static  and electromagnetic fields,C4
To discriminate between basic integral and differential forms of the Maxwell’s Equations for electrostatics and electrodynamics and solve Maxwell’s equations for simple electromagnetic problems.,C3
Analyze different types of electronic circuits  operational amplifiers and transducers with working principles of measuring instruments.,C2
Describe the basics of signals  systems and their mathematical description.,C2
Describe LTI systems and use convolution operation to evaluate LTI systems.,C3
Analyze signals in time and frequency domain using different transformation methods  e.g.  Fourier and Laplace transforms.,C4
Classify and analyze different categories of data structures and algorithms.,C1
Implement common searching and sorting algorithms,C3
Investigate doubly-excited machines for the production of reluctance and electromagnetic torques,C4
Analysis and modelling of single-phase induction motor equivalent circuit during different operating conditions.,C4
Illustrate the working principle of reluctance motor.,C3
Apply block diagram representation technique to calculate the transfer function of LTI system.,C3
Design and represent the state space model of the LTI System.,C4
Investigate the frequency domain analysis of the system using Bode Plot approach.,C4
Understand the policies  ethical and legal issues in business,C2
Analyze modern and innovative ideas for sustainable development through the basic knowledge and understanding of entrepreneurship and entrepreneurial process,C3
Understand the challenges in different organizational roles i.e. leaders  managers  employees and analyze the importance of teamwork in successful business,C2
Prepare business plan demonstrating the marketing  HR and financial aspects and needs of the new venture,C3
Student will be able to apply concepts of sampling theory to sample analog signals.,C3
Students will be able design digital filters and analyze their characteristics.,C4
Student will be able to use MATLAB framework to analyze and evaluate key concepts of Fourier  Z transform and filter design.,C5
Analyze different types of BJT and FET Amplifiers and their building blocks.,C4
Design Amplifier circuits and be able to evaluate gain and frequency responses,C4
Students will understand organizational ethics and be aware of ethical dilemmas that organization face on day to day basis.,C3
Students will appreciate implications of group and team dynamics in managerial decision-making procedures.,C2
Students will demonstrate capability to communicate persuasively and effectively under different working circumstances.,C3
Students will be able to reflect upon their own beliefs  assumptions  and behaviors with respect to how individuals  groups  and organizations act in order to expand your options of approaches and increase your own learning and effectiveness.,C4
Illustrate Characteristics and switching behavior of non-ideal power semiconductor devices.,C3
Analyze DC-DC converters for operation in steady state continuous conduction mode and discontinuous conduction mode,C4
Identify the impact of Thermal Power Stations on health  environment and society.,C3
Compute the efficiencies of various power stations such as thermal and hydro-electric power plants.,C3
Analysis of Renewable Energy Sources for sustainable solution to energy crisis.,C3
Apply the suitable wave propagation model for wireless communication and describe the parameters of fading channels,C4
Understand the basics of cellular network planning and management of mobile telephony systems,C2
To recognize the importance of scared spectrum  MIMO and beamforming techniques required for 5 G Communication.,C2
Able to identify hazards of industry to environment and humans.,C2
Able to assess the risk of workplace-based hazards through teamwork.,C4
Evaluate the effect of human factors and ethics for safe and unsafe behavior in the working environment,C4
To understand the basic concepts of fiber optics and optoelectronics systems.,C2
Demonstrate the detailed understanding and analysis of operating principles  characteristics  and design architectures of semiconductor optoelectronic devices.,C3
Describe basic design of fiber optic communication system,C2
To acquire the basic knowledge of protection system attributes and understand the concepts of various protection schemes,C4
To solve and evaluate the protection schemes for a power system.,C4
To analyze the behavior of various protection systems and ensure protection coordination,C4
Compute the inductance and capacitance for various configuration of transmission line,C4
Develop mathematical models for short  medium and long transmission lines,C5
Analyze the performance of transmission line using developed mathematical model,C4
To Explain the Wave Particle duality  De Broglie hypothesis  Davisson & Germer Experiment  Wave function  Schrodinger’s Time Independent wave equation  Particle in a box and quantum tunneling,C2
To Describe Microscopy techniques at Nanoscale  Carbon nanotubes  and Nano Devices e.g. RTDs  HBTs and NEMS.,C2
To Survey the Impact of Nanotechnology on Environment and Society,C4
Use DH convention to synthesize various kinds of manipulator designs.,C3
To apply forward and inverse kinematics techniques to synthesize basic manipulator configuration,C4
Simulate kinematics and dynamics of an articulate manipulator using contemporary software tools.,C5
To understand the programming concepts of Low level Language and core operations of microprocessor for optimization and control of different ports and components of Systems.,C2
To Apply low-level programming logic employed for problem solving with respect to organization of computer system.,C3
To Analyze the problem and mapping in the different nature of instruction set models.,C4
Demonstrate concepts of object oriented programming paradigm,C2
Demonstrate concepts of basic constructs of java,C2
Develop console or graphical user interface based applications,C3
Demonstrate the understanding of requirements development activities,C2
Demonstrate the understanding of requirements management activities,C2
Develop SRS as per the need of system,C3
Describe visual programming  c# language specification  & .NET framework ,C2
Develop console  & windows forms applications,C3
Describe components ADO.NET and Microsoft Entity framework,C2
Develop market-oriented windows based applications.,C5
Define the scope and importance of technical writing in academic and professional life.,C2
Identify audience types and style of technical writing and write letters  memos  emails  short reports  long reports  proposals  technical instructions and resumes with proper Formats.,C2
Develop basic concept of research writing and applying referencing tools in reports.,C3
Demonstrate core database concepts and explain database management system software components.,C2
Apply normalization process to develop database design,C3
Use database tools to design and develop abstract models in ERD,C5
Use SQL queries in Oracle and/or MySQL DBMS using various IDEs for the development of application program,C5
Express relational queries using Relational Algebra,C2
Understand XML technologies,C2
Be able to apply existing state-of-the-art implementations of machine learning algorithms in python to real world problems.,C3
Become familiar with the application of logic to logic programming  in particular  be able to write and debug Prolog programs.,C2
Understand different types of AI agents,C2
Understand the fundamentals of knowledge representation (logic-based  frame-based  semantic nets)  inference and theorem proving (state space search and problem reduction),C2
Apply knowledge representation  and reasoning techniques to real-world problems,C3
Understand various AI search algorithms (uninformed  informed  heuristic  constraint satisfaction),C2
To learn the basic concepts of data communications,C2
Understand the Layered Architecture of Computer Networks ,C2
To learn digital signal transmission and encoding techniques,C2
Learn multiplexing techniques,C2
Understand the operation of the main components of computer networks ,C2
Learn various network protocols and algorithms ,C2
Be able to understand and design a communication application.,C2
Acquire the required skill to design simple computer networks  and,C2
to analyze the well-known computing algorithms,C2
to design efficient applied algorithms for computer networking  engineering  medicine  security and other areas,C4
to solve problems using algorithm design strategies in general and estimate the computational limitations,C3
Understand fundamental operating system abstractions such as processes  threads  files  semaphores  IPC abstractions  shared memory regions  etc.,C2
Use the operating system abstractions in the development of application programs  or to use higher level abstractions constructs,C2
Implement the operating system abstractions,C2
Understand the principles of concurrency and synchronization,C2
Understand basic resource management techniques (scheduling or time management  space management) and principles and how they can be implemented. These also include issues of performance and fairness objectives  avoiding deadlocks.,C2
Use latest operating system such as LINUX,C2
Applying concepts related to Protection and privacy,C2
To demonstrate the basic knowledge of the axiomatic structure of a modern mathematical subject,C3
To apply computational techniques involving procedures in Linear Algebra.,C2
To solve problems that apply Linear Algebra to Computer Science such that image processes  linear transformation  etc.,C3
Use mathematically correct language and notation for Linear Algebra.,C3
Identify requirements to implement mobile solutions,C2
Design and develop Android device-specific  native applications,C2
Describe the components and structure of a mobile development framework (Google’s Android Studio),C5
Integrate database and server-side technologies to provide complete mobile development solutions,C3
Address the limitations and challenges of working in a mobile environment,C2
To learn the basic knowledge of advanced differentiation and integrals.,C2
To learn and apply the applications of parametric curves and arc length.,C1
Seek fundamental insights and knowledge of OO design and analysis.,C3
Give students hands-on experience of analyzing systems requirements using OO and UML.,C1
To establish the relationship between systems requirements and systems design using OO approach.,C5
To build from a design model into lower-level details or vice versa.,C3
To apply the knowledge of object-oriented analysis/design by developing successful  accurate  and workable deliverables for each of the different phases of the iterative development process based on analysis of a small case study.,C3
Apply GRASP and Gang of Four(GoF) patterns to OO design.,C3
Understand object oriented programming paradigm & principles of object oriented programming,C3
Understand constructs of java as object oriented programming language,C2
Understand development of console and graphical user interface based applications,C2
Ability to develop market oriented console and desktop applications,C2
Ability to use java constructs for working with databases such as MS access and so on,C3
Students would be able to identify the how history shapes society and their ethical perspective as well social issues,C3
Students would be able To study the history of Pakistan and track political and constitutional development.,C2
